NAME demo_extreme
CONTAINER 80 60

ITEMS
# id width height area_value can_rotate
P001 10 13 130 1
P002 17 5 85 1
P003 3 16 48 1
P004 10 8 80 1
P005 17 19 323 0
P006 3 11 33 1
P007 10 3 30 1
P008 17 14 238 1
P009 3 6 18 1
P010 10 17 170 0
P011 17 9 153 1
P012 3 20 60 1
P013 10 12 120 1
P014 17 4 68 1
P015 3 15 45 0
P016 10 7 70 1
P017 17 18 306 1
P018 3 10 30 1
P019 10 2 20 1
P020 17 13 221 0
P021 3 5 15 1
P022 10 16 160 1
P023 17 8 136 1
P024 3 19 57 1
P025 10 11 110 0
P026 17 3 51 1
P027 3 14 42 1
P028 10 6 60 1
P029 17 17 289 1
P030 3 9 27 0
P031 10 20 200 1
P032 17 12 204 1
P033 3 4 12 1
P034 10 15 150 1
P035 17 7 119 0
P036 3 18 54 1
P037 10 10 100 1
P038 17 2 34 1
P039 3 13 39 1
P040 10 5 50 0
P041 17 16 272 1
P042 3 8 24 1
P043 10 19 190 1
P044 17 11 187 1
P045 3 3 9 0
P046 10 14 140 1
P047 17 6 102 1
P048 3 17 51 1
P049 10 9 90 1
P050 17 20 340 0
P051 3 12 36 1
P052 10 4 40 1
P053 17 15 255 1
P054 3 7 21 1
P055 10 18 180 0
P056 17 10 170 1
P057 3 2 6 1
P058 10 13 130 1
P059 17 5 85 1
P060 3 16 48 0
P061 10 8 80 1
P062 17 19 323 1
P063 3 11 33 1
P064 10 3 30 1
P065 17 14 238 0
P066 3 6 18 1
P067 10 17 170 1
P068 17 9 153 1
P069 3 20 60 1
P070 10 12 120 0
P071 17 4 68 1
P072 3 15 45 1
P073 10 7 70 1
P074 17 18 306 1
P075 3 10 30 0
P076 10 2 20 1
P077 17 13 221 1
P078 3 5 15 1
P079 10 16 160 1
P080 17 8 136 0
P081 3 19 57 1
P082 10 11 110 1
P083 17 3 51 1
P084 3 14 42 1
P085 10 6 60 0
P086 17 17 289 1
P087 3 9 27 1
P088 10 20 200 1
P089 17 12 204 1
P090 3 4 12 0
P091 10 15 150 1
P092 17 7 119 1
P093 3 18 54 1
P094 10 10 100 1
P095 17 2 34 0
P096 3 13 39 1
P097 10 5 50 1
P098 17 16 272 1
P099 3 8 24 1
P100 10 19 190 0
P101 17 11 187 1
P102 3 3 9 1
P103 10 14 140 1
P104 17 6 102 1
P105 3 17 51 0
P106 10 9 90 1
P107 17 20 340 1
P108 3 12 36 1
P109 10 4 40 1
P110 17 15 255 0
P111 3 7 21 1
P112 10 18 180 1
P113 17 10 170 1
P114 3 2 6 1
P115 10 13 130 0
P116 17 5 85 1
P117 3 16 48 1
P118 10 8 80 1
P119 17 19 323 1
P120 3 11 33 0
